#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
93.4%	4670000	-235114.95159662399	305.210646895006	632
93.6%	4680000	-234595.3590673271	300.7896967161564	632
93.8%	4690000	-234538.42892206344	306.12328967945564	632
94.0%	4700000	-235366.82262933883	298.9216319974073	632
94.2%	4710000	-235927.78844965133	302.42651838742546	632
94.4%	4720000	-235686.61649835738	299.9645322187081	632
94.6%	4730000	-235361.25114191207	300.17599129808616	632
94.8%	4740000	-235522.98257959518	301.6031897516334	632
95.0%	4750000	-234640.53484094772	299.487532935259	632
95.2%	4760000	-234930.11053217086	298.9440188985731	632
95.4%	4770000	-235322.8625692192	301.0757869633217	632
95.6%	4780000	-235606.4988759819	302.4385077456236	632
95.8%	4790000	-234672.98125208053	301.8233173595502	632
96.0%	4800000	-235594.23690546188	299.42862598253623	632
96.2%	4810000	-235414.48121393356	303.1456871311822	632
96.4%	4820000	-235695.6789830986	298.4805668455874	632
96.6%	4830000	-235774.8152898613	303.44517244838846	632
96.8%	4840000	-234885.20348871383	300.6649541986421	632
97.0%	4850000	-235518.33213556441	305.55345458659434	632
97.2%	4860000	-234698.1729940239	303.1072765124332	632
97.4%	4870000	-234450.23473871383	299.981143582738	632
97.6%	4880000	-235693.13989008102	303.09910056873406	632
97.8%	4890000	-235463.34000909957	299.0774778471723	632
98.0%	4900000	-235097.72866571578	296.2737488692687	632
98.2%	4910000	-234469.8713582817	299.05008572862545	632
98.4%	4920000	-234757.3307775322	299.6787034651118	632
98.6%	4930000	-235085.53343713912	300.21734069356836	632
