#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
78.0%	3900000	-258435.00078057288	302.21153867489437	632
78.2%	3910000	-259084.05635308265	295.98047631867087	632
78.4%	3920000	-258959.43135308265	301.02407261122556	632
78.6%	3930000	-258439.35933159827	299.9785326326947	632
78.8%	3940000	-259024.1611962223	301.73067238582246	632
79.0%	3950000	-259425.17915581702	300.01494164384866	632
79.2%	3960000	-258974.35631035804	301.4756544629987	632
79.4%	3970000	-259843.06550835609	303.37797675176336	632
79.6%	3980000	-259564.02931450843	302.48163561033255	632
79.8%	3990000	-259634.8061394596	303.71904579848484	632
80.0%	4000000	-258711.00966118812	300.58154608816005	632
80.2%	4010000	-258414.35786675452	301.1687342631067	632
80.4%	4020000	-259114.7990288639	300.3870832062157	632
80.6%	4030000	-258912.78303765296	303.1455190206301	632
80.8%	4040000	-259392.6584038639	301.11236757930624	632
81.0%	4050000	-259492.4485649967	301.0225697002324	632
81.2%	4060000	-258394.78041314124	301.53625326294275	632
81.4%	4070000	-259391.91029595374	301.27717322594117	632
81.6%	4080000	-258771.57841729163	300.7060243585281	632
81.8%	4090000	-258424.8996148014	300.9900698170933	632
82.0%	4100000	-259188.75276421546	303.5593702708232	632
82.2%	4110000	-258981.61940239905	298.5292832438488	632
82.4%	4120000	-258529.16139458655	298.57114942037157	632
82.6%	4130000	-259239.39900444984	301.99619209831434	632
82.8%	4140000	-258441.8611016178	301.2247354801412	632
83.0%	4150000	-259706.27705620765	298.96390374216816	632
83.2%	4160000	-259033.61366509437	302.7894616412677	632
83.4%	4170000	-259432.14314507484	298.8006080830878	632
83.6%	4180000	-258738.90515374183	300.0965559542684	632
83.8%	4190000	-259317.65376519202	303.5327798187023	632
84.0%	4200000	-258348.56865166663	300.3611799553945	632
84.2%	4210000	-259216.92030571937	304.19460865897497	632
84.4%	4220000	-259008.07948540687	298.15549610248166	632
84.6%	4230000	-258485.67238091468	304.69540263716823	632
84.8%	4240000	-259002.58717583655	300.3306527212264	632
85.0%	4250000	-259894.48292778968	299.9493474500609	632
85.2%	4260000	-259232.9566826725	301.10187834961187	632
85.4%	4270000	-258663.7847771549	301.10346072062	632
85.6%	4280000	-259159.97334527015	305.478014958216	632
85.8%	4290000	-258331.05848931312	299.6577372084026	633
86.0%	4300000	-259073.1204552555	296.5925884122728	633
86.2%	4310000	-259319.5568413639	297.97131265657777	632
86.4%	4320000	-260148.19880913734	300.2029717964286	632
86.6%	4330000	-258921.70064019202	302.60788886454225	633
86.8%	4340000	-258188.28309868812	298.59215713313273	633
87.0%	4350000	-257996.0211357975	297.9231864973402	633
87.2%	4360000	-258800.8548149967	300.96186416430737	633
87.4%	4370000	-258714.89576958655	298.62622738662424	633
87.6%	4380000	-259089.0373101139	298.9052878795527	633
87.8%	4390000	-260085.87605523109	299.99868994660557	633
88.0%	4400000	-259442.98005913734	304.2586259996625	633
88.2%	4410000	-259206.27035759925	298.7368327412608	633
88.4%	4420000	-258761.5198540592	301.9740803903383	633
88.6%	4430000	-258868.1741509342	297.01000169515106	633
88.8%	4440000	-258188.44520806312	298.28897122222315	633
89.0%	4450000	-258501.4474663639	298.2065223903818	633
